"user_id","session_id","region","device_type","event_id","event_order","event_type","event_time","book_id","book_genre","subscription_plan"
1,"1_151","Europe","iOS",12,1,"app_opened",2025-01-01 10:21:04,NA,NA,NA
1,"1_13","Europe","iOS",3,2,"search_performed",2025-01-05 15:54:15,NA,NA,NA
1,"1_936","Europe","iOS",1,3,"book_viewed",2025-01-06 05:16:17,1073,"Mystery",NA
1,"1_104","Europe","iOS",13,4,"app_opened",2025-01-07 00:30:15,NA,NA,NA
1,"1_734","Europe","iOS",17,5,"book_viewed",2025-01-07 01:49:12,1054,"Mystery",NA
1,"1_728","Europe","iOS",2,6,"app_opened",2025-01-09 08:47:33,NA,NA,NA
1,"1_509","Europe","iOS",5,7,"search_performed",2025-01-14 14:11:04,NA,NA,NA
1,"1_319","Europe","iOS",16,8,"book_started",2025-01-16 06:21:34,1054,"Mystery",NA
1,"1_9","Europe","iOS",14,9,"app_opened",2025-01-18 04:26:23,NA,NA,NA
1,"1_666","Europe","iOS",4,10,"subscription_purchased",2025-01-19 12:23:07,NA,NA,"basic"
1,"1_178","Europe","iOS",7,11,"subscription_purchased",2025-01-19 21:10:16,NA,NA,"basic"
1,"1_976","Europe","iOS",10,12,"book_started",2025-01-20 22:34:17,1050,"Mystery",NA
1,"1_49","Europe","iOS",11,13,"app_opened",2025-01-23 20:10:47,NA,NA,NA
1,"1_417","Europe","iOS",9,14,"app_opened",2025-01-27 11:11:55,NA,NA,NA
1,"1_247","Europe","iOS",6,15,"search_performed",2025-01-28 13:52:07,NA,NA,NA
1,"1_949","Europe","iOS",15,16,"app_opened",2025-01-28 14:41:23,NA,NA,NA
1,"1_436","Europe","iOS",8,17,"book_started",2025-01-30 09:37:39,1019,"Fiction",NA
2,"2_121","South America","iOS",25,1,"app_opened",2025-01-02 13:27:05,NA,NA,NA
2,"2_40","South America","iOS",27,2,"book_started",2025-01-02 15:25:39,1076,"Non-Fiction",NA
2,"2_34","South America","iOS",24,3,"search_performed",2025-01-03 12:48:31,NA,NA,NA
2,"2_130","South America","iOS",18,4,"app_opened",2025-01-06 07:32:22,NA,NA,NA
2,"2_654","South America","iOS",26,5,"search_performed",2025-01-08 12:31:03,NA,NA,NA
2,"2_173","South America","iOS",23,6,"book_started",2025-01-11 01:27:26,1071,"Non-Fiction",NA
2,"2_602","South America","iOS",20,7,"search_performed",2025-01-11 18:27:55,NA,NA,NA
2,"2_261","South America","iOS",22,8,"subscription_purchased",2025-01-14 23:58:49,NA,NA,"basic"
2,"2_6","South America","iOS",19,9,"search_performed",2025-01-19 21:00:53,NA,NA,NA
2,"2_52","South America","iOS",28,10,"app_opened",2025-01-24 04:15:43,NA,NA,NA
2,"2_24","South America","iOS",21,11,"app_opened",2025-01-25 04:09:15,NA,NA,NA
3,"3_225","North America","iOS",43,1,"book_started",2025-01-01 08:44:28,1071,"Sci-Fi",NA
3,"3_698","North America","iOS",41,2,"search_performed",2025-01-04 14:54:59,NA,NA,NA
3,"3_974","North America","iOS",35,3,"subscription_purchased",2025-01-05 14:48:32,NA,NA,"basic"
3,"3_814","North America","iOS",29,4,"book_started",2025-01-07 14:07:50,1019,"Fiction",NA
3,"3_298","North America","iOS",31,5,"search_performed",2025-01-10 10:28:34,NA,NA,NA
3,"3_417","North America","iOS",32,6,"book_viewed",2025-01-13 02:35:46,1012,"Mystery",NA
3,"3_452","North America","iOS",42,7,"search_performed",2025-01-15 13:04:50,NA,NA,NA
3,"3_193","North America","iOS",37,8,"book_completed",2025-01-15 17:05:11,1047,"Fiction",NA
3,"3_440","North America","iOS",39,9,"app_opened",2025-01-16 02:09:10,NA,NA,NA
3,"3_689","North America","iOS",38,10,"app_opened",2025-01-18 11:03:57,NA,NA,NA
3,"3_872","North America","iOS",34,11,"book_viewed",2025-01-19 00:21:55,1019,"Fiction",NA
3,"3_148","North America","iOS",44,12,"app_opened",2025-01-19 01:25:49,NA,NA,NA
3,"3_76","North America","iOS",40,13,"search_performed",2025-01-22 09:32:37,NA,NA,NA
3,"3_876","North America","iOS",36,14,"search_performed",2025-01-24 03:51:51,NA,NA,NA
3,"3_214","North America","iOS",30,15,"app_opened",2025-01-25 00:55:56,NA,NA,NA
3,"3_575","North America","iOS",33,16,"book_completed",2025-01-29 03:55:23,1003,"Fiction",NA
4,"4_57","South America","Android",45,1,"search_performed",2025-01-04 18:58:12,NA,NA,NA
4,"4_693","South America","Android",47,2,"subscription_purchased",2025-01-11 18:41:50,NA,NA,"basic"
4,"4_245","South America","Android",51,3,"book_completed",2025-01-25 13:49:46,1082,"Sci-Fi",NA
4,"4_662","South America","Android",46,4,"book_started",2025-01-27 16:12:48,1014,"Sci-Fi",NA
4,"4_195","South America","Android",50,5,"app_opened",2025-01-28 04:40:56,NA,NA,NA
4,"4_67","South America","Android",48,6,"book_started",2025-01-29 22:46:27,1100,"Fiction",NA
4,"4_275","South America","Android",49,7,"app_opened",2025-01-30 09:11:01,NA,NA,NA
5,"5_791","Asia","Android",58,1,"book_viewed",2025-01-02 23:30:01,1001,"Sci-Fi",NA
5,"5_156","Asia","Android",61,2,"book_completed",2025-01-03 18:07:08,1096,"Non-Fiction",NA
5,"5_862","Asia","Android",56,3,"book_started",2025-01-08 07:30:19,1088,"Mystery",NA
5,"5_690","Asia","Android",60,4,"search_performed",2025-01-08 08:39:23,NA,NA,NA
5,"5_591","Asia","Android",53,5,"app_opened",2025-01-08 12:37:19,NA,NA,NA
5,"5_511","Asia","Android",55,6,"book_viewed",2025-01-10 14:06:40,1066,"Mystery",NA
5,"5_94","Asia","Android",59,7,"book_started",2025-01-12 23:26:33,1071,"Sci-Fi",NA
5,"5_692","Asia","Android",57,8,"book_viewed",2025-01-17 19:45:31,1002,"Sci-Fi",NA
5,"5_298","Asia","Android",54,9,"search_performed",2025-01-20 01:37:29,NA,NA,NA
5,"5_307","Asia","Android",52,10,"app_opened",2025-01-28 06:12:23,NA,NA,NA
6,"6_368","North America","iOS",76,1,"book_started",2025-01-08 22:27:50,1071,"Mystery",NA
6,"6_314","North America","iOS",62,2,"app_opened",2025-01-09 17:36:58,NA,NA,NA
6,"6_730","North America","iOS",66,3,"book_started",2025-01-13 12:38:36,1004,"Mystery",NA
6,"6_873","North America","iOS",75,4,"book_started",2025-01-14 05:24:47,1072,"Non-Fiction",NA
6,"6_799","North America","iOS",68,5,"search_performed",2025-01-14 12:02:24,NA,NA,NA
6,"6_495","North America","iOS",67,6,"search_performed",2025-01-17 19:38:44,NA,NA,NA
6,"6_934","North America","iOS",65,7,"app_opened",2025-01-22 13:55:33,NA,NA,NA
6,"6_71","North America","iOS",73,8,"app_opened",2025-01-24 01:44:20,NA,NA,NA
6,"6_87","North America","iOS",74,9,"app_opened",2025-01-24 19:54:03,NA,NA,NA
6,"6_69","North America","iOS",63,10,"app_opened",2025-01-25 14:40:31,NA,NA,NA
6,"6_350","North America","iOS",69,11,"app_opened",2025-01-26 07:49:13,NA,NA,NA
6,"6_786","North America","iOS",71,12,"book_started",2025-01-26 20:20:18,1084,"Mystery",NA
6,"6_913","North America","iOS",64,13,"search_performed",2025-01-26 21:22:50,NA,NA,NA
6,"6_483","North America","iOS",70,14,"book_viewed",2025-01-26 22:48:06,1074,"Fiction",NA
6,"6_61","North America","iOS",72,15,"book_started",2025-01-29 19:23:32,1045,"Mystery",NA
7,"7_779","Europe","Web",78,1,"search_performed",2025-01-02 02:04:21,NA,NA,NA
7,"7_287","Europe","Web",92,2,"book_viewed",2025-01-02 18:38:16,1083,"Non-Fiction",NA
7,"7_198","Europe","Web",84,3,"book_viewed",2025-01-03 08:10:01,1087,"Non-Fiction",NA
7,"7_476","Europe","Web",94,4,"app_opened",2025-01-04 08:13:32,NA,NA,NA
7,"7_497","Europe","Web",93,5,"app_opened",2025-01-06 05:28:12,NA,NA,NA
7,"7_872","Europe","Web",89,6,"book_viewed",2025-01-07 18:25:35,1079,"Mystery",NA
7,"7_26","Europe","Web",80,7,"search_performed",2025-01-08 20:07:49,NA,NA,NA
7,"7_795","Europe","Web",87,8,"app_opened",2025-01-09 03:07:20,NA,NA,NA
7,"7_952","Europe","Web",86,9,"app_opened",2025-01-10 20:43:04,NA,NA,NA
7,"7_488","Europe","Web",79,10,"book_started",2025-01-11 00:07:05,1042,"Fiction",NA
7,"7_725","Europe","Web",82,11,"app_opened",2025-01-11 19:03:43,NA,NA,NA
7,"7_508","Europe","Web",90,12,"search_performed",2025-01-15 12:10:19,NA,NA,NA
7,"7_470","Europe","Web",83,13,"book_viewed",2025-01-15 19:59:11,1093,"Non-Fiction",NA
7,"7_737","Europe","Web",81,14,"app_opened",2025-01-19 04:37:05,NA,NA,NA
7,"7_829","Europe","Web",88,15,"search_performed",2025-01-19 15:21:30,NA,NA,NA
7,"7_803","Europe","Web",85,16,"book_started",2025-01-22 09:30:40,1078,"Mystery",NA
7,"7_677","Europe","Web",91,17,"book_started",2025-01-22 13:16:41,1094,"Fiction",NA
7,"7_603","Europe","Web",95,18,"app_opened",2025-01-29 22:33:29,NA,NA,NA
7,"7_754","Europe","Web",77,19,"search_performed",2025-01-30 01:05:14,NA,NA,NA
8,"8_895","North America","Web",111,1,"book_viewed",2025-01-02 18:50:20,1021,"Sci-Fi",NA
8,"8_942","North America","Web",106,2,"app_opened",2025-01-05 05:18:34,NA,NA,NA
8,"8_446","North America","Web",99,3,"book_completed",2025-01-09 14:03:53,1039,"Sci-Fi",NA
8,"8_174","North America","Web",98,4,"book_completed",2025-01-09 23:37:10,1043,"Mystery",NA
8,"8_429","North America","Web",102,5,"app_opened",2025-01-11 04:48:02,NA,NA,NA
8,"8_859","North America","Web",103,6,"book_viewed",2025-01-11 11:48:28,1059,"Non-Fiction",NA
8,"8_89","North America","Web",107,7,"app_opened",2025-01-12 02:42:50,NA,NA,NA
8,"8_978","North America","Web",96,8,"book_viewed",2025-01-12 12:32:30,1070,"Non-Fiction",NA
8,"8_11","North America","Web",109,9,"app_opened",2025-01-14 03:35:30,NA,NA,NA
8,"8_854","North America","Web",104,10,"app_opened",2025-01-15 10:56:39,NA,NA,NA
